"object_id","term_taxonomy_id","term_order"
"2462","5","0"
"2485","95","0"
"2485","31","0"
"2485","96","0"
"2485","29","0"
"2490","67","0"
"2490","148","0"
"2490","5","0"
"2493","50","0"
"2493","17","0"
"2493","5","0"
"2504","65","0"
"2504","7","0"
"2504","5","0"
"2637","30","0"
"2637","131","0"
"2637","44","0"
"2318","7","0"
"2313","136","0"
"2313","31","0"
"2313","83","0"
"2313","55","0"
"2318","5","0"
"2318","22","0"
"2325","42","0"
"2325","5","0"
"2325","21","0"
"2469","46","0"
"2406","17","0"
"2406","100","0"
"2406","5","0"
"2412","43","0"
"2412","44","0"
"2412","117","0"
"2412","5","0"
"2423","31","0"
"2423","32","0"
"2423","33","0"
"2442","13","0"
"2442","7","0"
"2442","5","0"
"2469","5","0"
"2525","65","0"
"2471","52","0"
"2471","7","0"
"2471","5","0"
"2506","65","0"
"2506","7","0"
"2506","5","0"
"2525","30","0"
"2525","107","0"
"2525","7","0"
"2534","31","0"
"2529","24","0"
"2529","21","0"
"2529","5","0"
"2534","30","0"
"2534","32","0"
"2596","31","0"
"2596","30","0"
"2596","83","0"
"2632","102","0"
"2621","124","0"
"2621","17","0"
"2621","55","0"
"2632","54","0"
"2632","7","0"
"2537","31","0"
"2654","136","0"
"2654","31","0"
"2654","83","0"
"2654","55","0"
"2676","37","0"
"2676","114","0"
"2676","5","0"
"2696","8","0"
"2696","56","0"
"2696","55","0"
"2709","36","0"
"2709","109","0"
"2709","5","0"
"2508","65","0"
"2508","7","0"
"2508","5","0"
"2518","49","0"
"2518","36","0"
"2518","5","0"
"2521","8","0"
"2521","9","0"
"2521","5","0"
"2532","36","0"
"2532","97","0"
"2532","5","0"
"2537","30","0"
"2537","32","0"
"2593","27","0"
"2548","91","0"
"2548","21","0"
"2548","5","0"
"2560","40","0"
"2560","41","0"
"2560","5","0"
"2585","16","0"
"2585","17","0"
"2585","5","0"
"2593","39","0"
"2593","28","0"
"2626","31","0"
"2626","30","0"
"2626","83","0"
"2680","23","0"
"2643","27","0"
"2643","28","0"
"2643","29","0"
"2667","65","0"
"2667","107","0"
"2667","7","0"
"2667","29","0"
"2670","65","0"
"2670","107","0"
"2670","7","0"
"2670","33","0"
"2680","5","0"
"2680","7","0"
"2705","18","0"
"2687","94","0"
"2687","8","0"
"2687","54","0"
"2699","8","0"
"2699","56","0"
"2699","55","0"
"2702","8","0"
"2702","56","0"
"2702","55","0"
"2705","71","0"
"2705","76","0"
"2543","15","0"
"2711","58","0"
"2711","59","0"
"2711","5","0"
"2720","65","0"
"2720","107","0"
"2720","7","0"
"2720","55","0"
"2543","5","0"
"2543","7","0"
"2551","93","0"
"2551","5","0"
"2551","7","0"
"2629","31","0"
"2558","92","0"
"2558","72","0"
"2558","5","0"
"2563","72","0"
"2563","73","0"
"2563","5","0"
"2566","68","0"
"2566","69","0"
"2566","70","0"
"2566","5","0"
"2569","68","0"
"2569","69","0"
"2569","70","0"
"2569","5","0"
"2578","18","0"
"2578","88","0"
"2578","5","0"
"2581","18","0"
"2581","89","0"
"2581","5","0"
"2615","65","0"
"2615","7","0"
"2615","5","0"
"2629","30","0"
"2629","83","0"
"2640","129","0"
"2640","30","0"
"2640","37","0"
"2640","85","0"
"2760","142","0"
"2657","136","0"
"2657","31","0"
"2657","83","0"
"2657","55","0"
"2665","137","0"
"2665","17","0"
"2665","5","0"
"2715","35","0"
"2715","36","0"
"2715","5","0"
"2742","108","0"
"2742","17","0"
"2742","5","0"
"2756","4","0"
"2756","78","0"
"2756","5","0"
"2760","30","0"
"2760","31","0"
"2760","143","0"
"2795","27","0"
"2771","77","0"
"2771","31","0"
"2771","5","0"
"2792","149","0"
"2792","18","0"
"2792","54","0"
"2795","30","0"
"2795","28","0"
"2546","6","0"
"2546","5","0"
"2546","7","0"
"2572","26","0"
"2572","5","0"
"2572","7","0"
"2576","26","0"
"2576","29","0"
"2576","7","0"
"2587","139","0"
"2587","71","0"
"2587","11","0"
"2650","65","0"
"2591","27","0"
"2591","28","0"
"2591","33","0"
"2650","30","0"
"2650","107","0"
"2650","7","0"
"2684","20","0"
"2661","136","0"
"2661","31","0"
"2661","83","0"
"2661","55","0"
"2684","5","0"
"2684","21","0"
"2803","86","0"
"2689","90","0"
"2689","43","0"
"2689","44","0"
"2689","5","0"
"2735","147","0"
"2735","31","0"
"2735","5","0"
"2739","72","0"
"2739","132","0"
"2739","5","0"
"2744","108","0"
"2744","17","0"
"2744","5","0"
"2748","47","0"
"2748","48","0"
"2748","5","0"
"2789","124","0"
"2789","17","0"
"2789","5","0"
"2803","71","0"
"2803","11","0"
"2830","102","0"
"2809","146","0"
"2809","36","0"
"2809","5","0"
"2821","150","0"
"2821","18","0"
"2821","147","0"
"2821","76","0"
"2821","132","0"
"2821","106","0"
"2830","5","0"
"2830","7","0"
"2905","27","0"
"2895","17","0"
"2895","138","0"
"2895","5","0"
"2905","39","0"
"2905","28","0"
"2603","152","0"
"2539","31","0"
"2539","32","0"
"2539","33","0"
"2554","50","0"
"2554","17","0"
"2554","5","0"
"2603","151","0"
"2603","153","0"
"2608","152","0"
"2608","151","0"
"2608","153","0"
"2818","27","0"
"2724","40","0"
"2724","41","0"
"2724","5","0"
"2751","18","0"
"2751","154","0"
"2751","5","0"
"2767","49","0"
"2767","36","0"
"2767","5","0"
